"Job","Panel","Start time","End time","Time","EndTo1st","EndTo1stEnd","EndTo2nd","EndTo2ndEnd","EndTo3rd","EndTo3rdEnd"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:19:32","2024-07-02 04:19:59","00:00:27","-14","13","","","",""
"","1","2024-07-02 04:19:32","2024-07-02 04:19:59","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:20:17","2024-07-02 04:20:17","00:00:00","18","18","","","",""
"","1","2024-07-02 04:20:17","2024-07-02 04:20:17","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:20:06","2024-07-02 04:20:32","00:00:26","-11","15","","","",""
"","1","2024-07-02 04:20:06","2024-07-02 04:20:32","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:20:52","2024-07-02 04:20:52","00:00:00","20","20","","","",""
"","1","2024-07-02 04:20:52","2024-07-02 04:20:52","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:20:39","2024-07-02 04:21:06","00:00:27","-13","14","","","",""
"","1","2024-07-02 04:20:39","2024-07-02 04:21:06","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:21:24","2024-07-02 04:21:24","00:00:00","18","18","","","",""
"","1","2024-07-02 04:21:24","2024-07-02 04:21:24","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:21:13","2024-07-02 04:21:47","00:00:34","-11","23","","","",""
"","1","2024-07-02 04:21:13","2024-07-02 04:21:47","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:22:16","2024-07-02 04:22:16","00:00:00","29","29","","","",""
"","1","2024-07-02 04:22:16","2024-07-02 04:22:16","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:21:54","2024-07-02 04:22:27","00:00:33","-22","11","","","",""
"","1","2024-07-02 04:21:54","2024-07-02 04:22:27","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:22:50","2024-07-02 04:22:50","00:00:00","23","23","","","",""
"","1","2024-07-02 04:22:50","2024-07-02 04:22:50","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:22:36","2024-07-02 04:23:02","00:00:26","-14","12","","","",""
"","1","2024-07-02 04:22:36","2024-07-02 04:23:02","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:23:18","2024-07-02 04:23:18","00:00:00","16","16","","","",""
"","1","2024-07-02 04:23:18","2024-07-02 04:23:18","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:23:08","2024-07-02 04:23:36","00:00:28","-10","18","","","",""
"","1","2024-07-02 04:23:08","2024-07-02 04:23:36","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:24:00","2024-07-02 04:24:00","00:00:00","24","24","","","",""
"","1","2024-07-02 04:24:00","2024-07-02 04:24:00","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:23:46","2024-07-02 04:24:14","00:00:28","-14","14","","","",""
"","1","2024-07-02 04:23:46","2024-07-02 04:24:14","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:24:39","2024-07-02 04:24:39","00:00:00","25","25","","","",""
"","1","2024-07-02 04:24:39","2024-07-02 04:24:39","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:24:25","2024-07-02 04:24:52","00:00:27","-14","13","","","",""
"","1","2024-07-02 04:24:25","2024-07-02 04:24:52","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:25:18","2024-07-02 04:25:18","00:00:00","26","26","","","",""
"","1","2024-07-02 04:25:18","2024-07-02 04:25:18","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:25:04","2024-07-02 04:25:31","00:00:27","-14","13","","","",""
"","1","2024-07-02 04:25:04","2024-07-02 04:25:31","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:25:56","2024-07-02 04:25:56","00:00:00","25","25","","","",""
"","1","2024-07-02 04:25:56","2024-07-02 04:25:56","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:25:43","2024-07-02 04:26:09","00:00:26","-13","13","","","",""
"","1","2024-07-02 04:25:43","2024-07-02 04:26:09","26"
"ECH3ESN00003 T&B B A1-LCR","5","2024-07-02 04:26:19","2024-07-02 04:28:33","00:02:14","10","10","32","32","53","53"
"","1","2024-07-02 04:26:19","2024-07-02 04:26:19","0"
"","2","2024-07-02 04:26:41","2024-07-02 04:26:41","0"
"","3","2024-07-02 04:27:02","2024-07-02 04:27:02","0"
"","4","2024-07-02 04:27:24","2024-07-02 04:27:24","0"
"","5","2024-07-02 04:28:33","2024-07-02 04:28:33","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 04:28:14","2024-07-02 04:29:30","00:01:16","-19","15","30","57","",""
"","1","2024-07-02 04:28:14","2024-07-02 04:28:48","34"
"","2","2024-07-02 04:29:03","2024-07-02 04:29:30","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:29:46","2024-07-02 04:29:46","00:00:00","16","16","","","",""
"","1","2024-07-02 04:29:46","2024-07-02 04:29:46","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:29:37","2024-07-02 04:30:04","00:00:27","-9","18","","","",""
"","1","2024-07-02 04:29:37","2024-07-02 04:30:04","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:30:25","2024-07-02 04:30:25","00:00:00","21","21","","","",""
"","1","2024-07-02 04:30:25","2024-07-02 04:30:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:30:11","2024-07-02 04:30:39","00:00:28","-14","14","","","",""
"","1","2024-07-02 04:30:11","2024-07-02 04:30:39","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:31:03","2024-07-02 04:31:03","00:00:00","24","24","","","",""
"","1","2024-07-02 04:31:03","2024-07-02 04:31:03","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:30:50","2024-07-02 04:31:16","00:00:26","-13","13","","","",""
"","1","2024-07-02 04:30:50","2024-07-02 04:31:16","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:31:43","2024-07-02 04:31:43","00:00:00","27","27","","","",""
"","1","2024-07-02 04:31:43","2024-07-02 04:31:43","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:31:29","2024-07-02 04:31:57","00:00:28","-14","14","","","",""
"","1","2024-07-02 04:31:29","2024-07-02 04:31:57","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:32:22","2024-07-02 04:32:22","00:00:00","25","25","","","",""
"","1","2024-07-02 04:32:22","2024-07-02 04:32:22","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:32:08","2024-07-02 04:32:43","00:00:35","-14","21","","","",""
"","1","2024-07-02 04:32:08","2024-07-02 04:32:43","35"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:33:01","2024-07-02 04:33:01","00:00:00","18","18","","","",""
"","1","2024-07-02 04:33:01","2024-07-02 04:33:01","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:32:50","2024-07-02 04:33:17","00:00:27","-11","16","","","",""
"","1","2024-07-02 04:32:50","2024-07-02 04:33:17","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:33:44","2024-07-02 04:33:44","00:00:00","27","27","","","",""
"","1","2024-07-02 04:33:44","2024-07-02 04:33:44","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:33:31","2024-07-02 04:33:58","00:00:27","-13","14","","","",""
"","1","2024-07-02 04:33:31","2024-07-02 04:33:58","27"
"ECH3ESN00003 T&B B A1-LCR","14","2024-07-02 04:34:06","2024-07-02 04:42:16","00:08:10","8","8","30","30","52","52"
"","1","2024-07-02 04:34:06","2024-07-02 04:34:06","0"
"","2","2024-07-02 04:34:28","2024-07-02 04:34:28","0"
"","3","2024-07-02 04:34:50","2024-07-02 04:34:50","0"
"","4","2024-07-02 04:35:12","2024-07-02 04:35:12","0"
"","5","2024-07-02 04:35:34","2024-07-02 04:35:34","0"
"","6","2024-07-02 04:35:56","2024-07-02 04:35:56","0"
"","7","2024-07-02 04:36:18","2024-07-02 04:36:18","0"
"","8","2024-07-02 04:36:40","2024-07-02 04:36:40","0"
"","9","2024-07-02 04:37:05","2024-07-02 04:37:05","0"
"","10","2024-07-02 04:40:39","2024-07-02 04:40:39","0"
"","11","2024-07-02 04:41:01","2024-07-02 04:41:01","0"
"","12","2024-07-02 04:41:23","2024-07-02 04:41:23","0"
"","13","2024-07-02 04:41:45","2024-07-02 04:41:45","0"
"","14","2024-07-02 04:42:16","2024-07-02 04:42:16","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:42:10","2024-07-02 04:42:38","00:00:28","-6","22","","","",""
"","1","2024-07-02 04:42:10","2024-07-02 04:42:38","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:42:46","2024-07-02 04:42:46","00:00:00","8","8","","","",""
"","1","2024-07-02 04:42:46","2024-07-02 04:42:46","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:42:45","2024-07-02 04:43:11","00:00:26","-1","25","","","",""
"","1","2024-07-02 04:42:45","2024-07-02 04:43:11","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:43:28","2024-07-02 04:43:28","00:00:00","17","17","","","",""
"","1","2024-07-02 04:43:28","2024-07-02 04:43:28","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:43:18","2024-07-02 04:43:45","00:00:27","-10","17","","","",""
"","1","2024-07-02 04:43:18","2024-07-02 04:43:45","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:44:03","2024-07-02 04:44:03","00:00:00","18","18","","","",""
"","1","2024-07-02 04:44:03","2024-07-02 04:44:03","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:43:52","2024-07-02 04:44:19","00:00:27","-11","16","","","",""
"","1","2024-07-02 04:43:52","2024-07-02 04:44:19","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:44:25","2024-07-02 04:44:25","00:00:00","6","6","","","",""
"","1","2024-07-02 04:44:25","2024-07-02 04:44:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:47:18","2024-07-02 04:47:52","00:00:34","173","207","","","",""
"","1","2024-07-02 04:47:18","2024-07-02 04:47:52","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:48:56","2024-07-02 04:48:56","00:00:00","64","64","","","",""
"","1","2024-07-02 04:48:56","2024-07-02 04:48:56","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:48:42","2024-07-02 04:49:11","00:00:29","-14","15","","","",""
"","1","2024-07-02 04:48:42","2024-07-02 04:49:11","29"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:49:35","2024-07-02 04:49:35","00:00:00","24","24","","","",""
"","1","2024-07-02 04:49:35","2024-07-02 04:49:35","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:49:21","2024-07-02 04:49:48","00:00:27","-14","13","","","",""
"","1","2024-07-02 04:49:21","2024-07-02 04:49:48","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:50:14","2024-07-02 04:50:15","00:00:01","26","27","","","",""
"","1","2024-07-02 04:50:14","2024-07-02 04:50:15","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:50:01","2024-07-02 04:50:27","00:00:26","-14","12","","","",""
"","1","2024-07-02 04:50:01","2024-07-02 04:50:27","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:51:11","2024-07-02 04:51:11","00:00:00","44","44","","","",""
"","1","2024-07-02 04:51:11","2024-07-02 04:51:11","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:51:07","2024-07-02 04:51:40","00:00:33","-4","29","","","",""
