"Job","Panel","Start time","End time","Time","EndTo1st","EndTo1stEnd","EndTo2nd","EndTo2ndEnd","EndTo3rd","EndTo3rdEnd"
"","2","2024-07-02 13:03:09","2024-07-02 13:03:36","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:03:52","2024-07-02 13:04:13","00:00:21","16","16","37","37","",""
"","1","2024-07-02 13:03:52","2024-07-02 13:03:52","0"
"","2","2024-07-02 13:04:13","2024-07-02 13:04:13","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:03:49","2024-07-02 13:04:16","00:00:27","-24","3","","","",""
"","1","2024-07-02 13:03:49","2024-07-02 13:04:16","27"
"ECH3ESN00003 T&B B A1-LCR","4","2024-07-02 13:04:38","2024-07-02 13:05:42","00:01:04","22","22","44","44","65","65"
"","1","2024-07-02 13:04:38","2024-07-02 13:04:38","0"
"","2","2024-07-02 13:05:00","2024-07-02 13:05:00","0"
"","3","2024-07-02 13:05:21","2024-07-02 13:05:21","0"
"","4","2024-07-02 13:05:42","2024-07-02 13:05:42","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:05:59","2024-07-02 13:06:31","00:00:32","17","49","","","",""
"","1","2024-07-02 13:05:59","2024-07-02 13:06:31","32"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:06:32","2024-07-02 13:06:52","00:00:20","1","2","21","21","",""
"","1","2024-07-02 13:06:32","2024-07-02 13:06:33","1"
"","2","2024-07-02 13:06:52","2024-07-02 13:06:52","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:06:37","2024-07-02 13:07:03","00:00:26","-15","11","","","",""
"","1","2024-07-02 13:06:37","2024-07-02 13:07:03","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:07:22","2024-07-02 13:07:22","00:00:00","19","19","","","",""
"","1","2024-07-02 13:07:22","2024-07-02 13:07:22","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:07:09","2024-07-02 13:07:37","00:00:28","-13","15","","","",""
"","1","2024-07-02 13:07:09","2024-07-02 13:07:37","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:07:51","2024-07-02 13:07:51","00:00:00","14","14","","","",""
"","1","2024-07-02 13:07:51","2024-07-02 13:07:51","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:07:43","2024-07-02 13:08:11","00:00:28","-8","20","","","",""
"","1","2024-07-02 13:07:43","2024-07-02 13:08:11","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:08:21","2024-07-02 13:08:21","00:00:00","10","10","","","",""
"","1","2024-07-02 13:08:21","2024-07-02 13:08:21","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:08:26","2024-07-02 13:08:52","00:00:26","5","31","","","",""
"","1","2024-07-02 13:08:26","2024-07-02 13:08:52","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:08:55","2024-07-02 13:08:55","00:00:00","3","3","","","",""
"","1","2024-07-02 13:08:55","2024-07-02 13:08:55","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:08:59","2024-07-02 13:09:26","00:00:27","4","31","","","",""
"","1","2024-07-02 13:08:59","2024-07-02 13:09:26","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:09:35","2024-07-02 13:09:35","00:00:00","9","9","","","",""
"","1","2024-07-02 13:09:35","2024-07-02 13:09:35","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 13:09:33","2024-07-02 13:10:44","00:01:11","-2","24","35","69","",""
"","1","2024-07-02 13:09:33","2024-07-02 13:09:59","26"
"","2","2024-07-02 13:10:10","2024-07-02 13:10:44","34"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:10:47","2024-07-02 13:11:08","00:00:21","3","3","24","24","",""
"","1","2024-07-02 13:10:47","2024-07-02 13:10:47","0"
"","2","2024-07-02 13:11:08","2024-07-02 13:11:08","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 13:10:50","2024-07-02 13:12:24","00:01:34","-18","10","48","76","",""
"","1","2024-07-02 13:10:50","2024-07-02 13:11:18","28"
"","2","2024-07-02 13:11:56","2024-07-02 13:12:24","28"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:13:16","2024-07-02 13:13:46","00:00:30","52","52","82","82","",""
"","1","2024-07-02 13:13:16","2024-07-02 13:13:16","0"
"","2","2024-07-02 13:13:46","2024-07-02 13:13:46","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:13:33","2024-07-02 13:14:00","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:13:33","2024-07-02 13:14:00","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:14:17","2024-07-02 13:14:17","00:00:00","17","17","","","",""
"","1","2024-07-02 13:14:17","2024-07-02 13:14:17","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:14:07","2024-07-02 13:14:33","00:00:26","-10","16","","","",""
"","1","2024-07-02 13:14:07","2024-07-02 13:14:33","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:14:50","2024-07-02 13:14:51","00:00:01","17","18","","","",""
"","1","2024-07-02 13:14:50","2024-07-02 13:14:51","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:14:40","2024-07-02 13:15:06","00:00:26","-11","15","","","",""
"","1","2024-07-02 13:14:40","2024-07-02 13:15:06","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:15:25","2024-07-02 13:15:25","00:00:00","19","19","","","",""
"","1","2024-07-02 13:15:25","2024-07-02 13:15:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:15:13","2024-07-02 13:15:46","00:00:33","-12","21","","","",""
"","1","2024-07-02 13:15:13","2024-07-02 13:15:46","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:16:01","2024-07-02 13:16:02","00:00:01","15","16","","","",""
"","1","2024-07-02 13:16:01","2024-07-02 13:16:02","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:15:53","2024-07-02 13:16:20","00:00:27","-9","18","","","",""
"","1","2024-07-02 13:15:53","2024-07-02 13:16:20","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:16:40","2024-07-02 13:16:40","00:00:00","20","20","","","",""
"","1","2024-07-02 13:16:40","2024-07-02 13:16:40","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:16:27","2024-07-02 13:16:55","00:00:28","-13","15","","","",""
"","1","2024-07-02 13:16:27","2024-07-02 13:16:55","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:17:27","2024-07-02 13:17:27","00:00:00","32","32","","","",""
"","1","2024-07-02 13:17:27","2024-07-02 13:17:27","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:17:14","2024-07-02 13:17:41","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:17:14","2024-07-02 13:17:41","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:18:08","2024-07-02 13:18:08","00:00:00","27","27","","","",""
"","1","2024-07-02 13:18:08","2024-07-02 13:18:08","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:17:54","2024-07-02 13:18:22","00:00:28","-14","14","","","",""
"","1","2024-07-02 13:17:54","2024-07-02 13:18:22","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:18:44","2024-07-02 13:18:44","00:00:00","22","22","","","",""
"","1","2024-07-02 13:18:44","2024-07-02 13:18:44","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:18:31","2024-07-02 13:18:58","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:18:31","2024-07-02 13:18:58","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:19:27","2024-07-02 13:19:27","00:00:00","29","29","","","",""
"","1","2024-07-02 13:19:27","2024-07-02 13:19:27","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:19:13","2024-07-02 13:19:46","00:00:33","-14","19","","","",""
"","1","2024-07-02 13:19:13","2024-07-02 13:19:46","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:20:01","2024-07-02 13:20:02","00:00:01","15","16","","","",""
"","1","2024-07-02 13:20:01","2024-07-02 13:20:02","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:19:53","2024-07-02 13:20:21","00:00:28","-9","19","","","",""
"","1","2024-07-02 13:19:53","2024-07-02 13:20:21","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:20:49","2024-07-02 13:20:49","00:00:00","28","28","","","",""
"","1","2024-07-02 13:20:49","2024-07-02 13:20:49","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:20:35","2024-07-02 13:21:02","00:00:27","-14","13","","","",""
"","1","2024-07-02 13:20:35","2024-07-02 13:21:02","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:21:24","2024-07-02 13:21:24","00:00:00","22","22","","","",""
"","1","2024-07-02 13:21:24","2024-07-02 13:21:24","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:21:11","2024-07-02 13:21:38","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:21:11","2024-07-02 13:21:38","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:21:56","2024-07-02 13:21:56","00:00:00","18","18","","","",""
"","1","2024-07-02 13:21:56","2024-07-02 13:21:56","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:21:45","2024-07-02 13:22:11","00:00:26","-11","15","","","",""
"","1","2024-07-02 13:21:45","2024-07-02 13:22:11","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:22:34","2024-07-02 13:22:34","00:00:00","23","23","","","",""
"","1","2024-07-02 13:22:34","2024-07-02 13:22:34","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:22:21","2024-07-02 13:22:48","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:22:21","2024-07-02 13:22:48","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:23:19","2024-07-02 13:23:19","00:00:00","31","31","","","",""
"","1","2024-07-02 13:23:19","2024-07-02 13:23:19","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:23:02","2024-07-02 13:23:29","00:00:27","-17","10","","","",""
"","1","2024-07-02 13:23:02","2024-07-02 13:23:29","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:23:57","2024-07-02 13:23:57","00:00:00","28","28","","","",""
"","1","2024-07-02 13:23:57","2024-07-02 13:23:57","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:23:44","2024-07-02 13:24:17","00:00:33","-13","20","","","",""
"","1","2024-07-02 13:23:44","2024-07-02 13:24:17","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:24:36","2024-07-02 13:24:36","00:00:00","19","19","","","",""
"","1","2024-07-02 13:24:36","2024-07-02 13:24:36","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:24:24","2024-07-02 13:24:51","00:00:27","-12","15","","","",""
"","1","2024-07-02 13:24:24","2024-07-02 13:24:51","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:25:29","2024-07-02 13:25:29","00:00:00","38","38","","","",""
"","1","2024-07-02 13:25:29","2024-07-02 13:25:29","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:25:07","2024-07-02 13:25:34","00:00:27","-22","5","","","",""
"","1","2024-07-02 13:25:07","2024-07-02 13:25:34","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:26:07","2024-07-02 13:26:07","00:00:00","33","33","","","",""
"","1","2024-07-02 13:26:07","2024-07-02 13:26:07","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:25:54","2024-07-02 13:26:22","00:00:28","-13","15","","","",""
"","1","2024-07-02 13:25:54","2024-07-02 13:26:22","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:26:42","2024-07-02 13:26:42","00:00:00","20","20","","","",""
"","1","2024-07-02 13:26:42","2024-07-02 13:26:42","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:26:29","2024-07-02 13:26:56","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:26:29","2024-07-02 13:26:56","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:27:23","2024-07-02 13:27:59","00:00:36","27","27","63","63","",""
"","1","2024-07-02 13:27:23","2024-07-02 13:27:23","0"
"","2","2024-07-02 13:27:59","2024-07-02 13:27:59","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:28:06","2024-07-02 13:28:33","00:00:27","7","34","","","",""
"","1","2024-07-02 13:28:06","2024-07-02 13:28:33","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:28:42","2024-07-02 13:28:42","00:00:00","9","9","","","",""
"","1","2024-07-02 13:28:42","2024-07-02 13:28:42","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:28:40","2024-07-02 13:29:06","00:00:26","-2","24","","","",""
"","1","2024-07-02 13:28:40","2024-07-02 13:29:06","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:29:16","2024-07-02 13:29:16","00:00:00","10","10","","","",""
"","1","2024-07-02 13:29:16","2024-07-02 13:29:16","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:29:13","2024-07-02 13:29:47","00:00:34","-3","31","","","",""
"","1","2024-07-02 13:29:13","2024-07-02 13:29:47","34"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:29:51","2024-07-02 13:30:13","00:00:22","4","4","26","26","",""
"","1","2024-07-02 13:29:51","2024-07-02 13:29:51","0"
"","2","2024-07-02 13:30:13","2024-07-02 13:30:13","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:29:54","2024-07-02 13:30:21","00:00:27","-19","8","","","",""
"","1","2024-07-02 13:29:54","2024-07-02 13:30:21","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:30:50","2024-07-02 13:30:50","00:00:00","29","29","","","",""
"","1","2024-07-02 13:30:50","2024-07-02 13:30:50","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 13:30:30","2024-07-02 13:31:35","00:01:05","-20","8","17","45","",""
"","1","2024-07-02 13:30:30","2024-07-02 13:30:58","28"
"","2","2024-07-02 13:31:07","2024-07-02 13:31:35","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:31:43","2024-07-02 13:31:43","00:00:00","8","8","","","",""
"","1","2024-07-02 13:31:43","2024-07-02 13:31:43","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:31:42","2024-07-02 13:32:08","00:00:26","-1","25","","","",""
"","1","2024-07-02 13:31:42","2024-07-02 13:32:08","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:32:19","2024-07-02 13:32:19","00:00:00","11","11","","","",""
"","1","2024-07-02 13:32:19","2024-07-02 13:32:19","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:32:15","2024-07-02 13:32:42","00:00:27","-4","23","","","",""
"","1","2024-07-02 13:32:15","2024-07-02 13:32:42","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:32:57","2024-07-02 13:32:57","00:00:00","15","15","","","",""
"","1","2024-07-02 13:32:57","2024-07-02 13:32:57","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:32:49","2024-07-02 13:33:23","00:00:34","-8","26","","","",""
"","1","2024-07-02 13:32:49","2024-07-02 13:33:23","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:33:49","2024-07-02 13:33:49","00:00:00","26","26","","","",""
"","1","2024-07-02 13:33:49","2024-07-02 13:33:49","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:33:36","2024-07-02 13:34:10","00:00:34","-13","21","","","",""
"","1","2024-07-02 13:33:36","2024-07-02 13:34:10","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:34:22","2024-07-02 13:34:22","00:00:00","12","12","","","",""
"","1","2024-07-02 13:34:22","2024-07-02 13:34:22","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:34:17","2024-07-02 13:34:44","00:00:27","-5","22","","","",""
"","1","2024-07-02 13:34:17","2024-07-02 13:34:44","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:35:00","2024-07-02 13:35:00","00:00:00","16","16","","","",""
"","1","2024-07-02 13:35:00","2024-07-02 13:35:00","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:34:51","2024-07-02 13:35:18","00:00:27","-9","18","","","",""
"","1","2024-07-02 13:34:51","2024-07-02 13:35:18","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:36:54","2024-07-02 13:36:54","00:00:00","96","96","","","",""
"","1","2024-07-02 13:36:54","2024-07-02 13:36:54","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:36:43","2024-07-02 13:37:09","00:00:26","-11","15","","","",""
"","1","2024-07-02 13:36:43","2024-07-02 13:37:09","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:37:25","2024-07-02 13:37:25","00:00:00","16","16","","","",""
"","1","2024-07-02 13:37:25","2024-07-02 13:37:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:37:16","2024-07-02 13:37:43","00:00:27","-9","18","","","",""
"","1","2024-07-02 13:37:16","2024-07-02 13:37:43","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:37:56","2024-07-02 13:37:56","00:00:00","13","13","","","",""
"","1","2024-07-02 13:37:56","2024-07-02 13:37:56","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:37:49","2024-07-02 13:38:16","00:00:27","-7","20","","","",""
"","1","2024-07-02 13:37:49","2024-07-02 13:38:16","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:38:26","2024-07-02 13:38:26","00:00:00","10","10","","","",""
"","1","2024-07-02 13:38:26","2024-07-02 13:38:26","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:38:23","2024-07-02 13:38:50","00:00:27","-3","24","","","",""
"","1","2024-07-02 13:38:23","2024-07-02 13:38:50","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:39:23","2024-07-02 13:39:23","00:00:00","33","33","","","",""
"","1","2024-07-02 13:39:23","2024-07-02 13:39:23","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:38:56","2024-07-02 13:39:30","00:00:34","-27","7","","","",""
"","1","2024-07-02 13:38:56","2024-07-02 13:39:30","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:39:44","2024-07-02 13:39:44","00:00:00","14","14","","","",""
"","1","2024-07-02 13:39:44","2024-07-02 13:39:44","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:39:37","2024-07-02 13:40:04","00:00:27","-7","20","","","",""
"","1","2024-07-02 13:39:37","2024-07-02 13:40:04","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:40:15","2024-07-02 13:40:15","00:00:00","11","11","","","",""
"","1","2024-07-02 13:40:15","2024-07-02 13:40:15","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:40:11","2024-07-02 13:40:38","00:00:27","-4","23","","","",""
"","1","2024-07-02 13:40:11","2024-07-02 13:40:38","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:40:47","2024-07-02 13:40:47","00:00:00","9","9","","","",""
"","1","2024-07-02 13:40:47","2024-07-02 13:40:47","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:40:45","2024-07-02 13:41:13","00:00:28","-2","26","","","",""
"","1","2024-07-02 13:40:45","2024-07-02 13:41:13","28"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:41:22","2024-07-02 13:41:43","00:00:21","9","9","30","30","",""
"","1","2024-07-02 13:41:22","2024-07-02 13:41:22","0"
"","2","2024-07-02 13:41:43","2024-07-02 13:41:43","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:41:19","2024-07-02 13:41:46","00:00:27","-24","3","","","",""
"","1","2024-07-02 13:41:19","2024-07-02 13:41:46","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 13:42:04","2024-07-02 13:42:35","00:00:31","18","18","49","49","",""
"","1","2024-07-02 13:42:04","2024-07-02 13:42:04","0"
"","2","2024-07-02 13:42:35","2024-07-02 13:42:35","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:42:22","2024-07-02 13:42:48","00:00:26","-13","13","","","",""
"","1","2024-07-02 13:42:22","2024-07-02 13:42:48","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:43:13","2024-07-02 13:43:13","00:00:00","25","25","","","",""
"","1","2024-07-02 13:43:13","2024-07-02 13:43:13","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:43:00","2024-07-02 13:43:34","00:00:34","-13","21","","","",""
"","1","2024-07-02 13:43:00","2024-07-02 13:43:34","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:43:52","2024-07-02 13:43:52","00:00:00","18","18","","","",""
"","1","2024-07-02 13:43:52","2024-07-02 13:43:52","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:43:41","2024-07-02 13:44:08","00:00:27","-11","16","","","",""
"","1","2024-07-02 13:43:41","2024-07-02 13:44:08","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:44:31","2024-07-02 13:44:31","00:00:00","23","23","","","",""
"","1","2024-07-02 13:44:31","2024-07-02 13:44:31","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:44:17","2024-07-02 13:44:44","00:00:27","-14","13","","","",""
"","1","2024-07-02 13:44:17","2024-07-02 13:44:44","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:45:09","2024-07-02 13:45:09","00:00:00","25","25","","","",""
"","1","2024-07-02 13:45:09","2024-07-02 13:45:09","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:44:56","2024-07-02 13:45:23","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:44:56","2024-07-02 13:45:23","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:45:58","2024-07-02 13:45:58","00:00:00","35","35","","","",""
"","1","2024-07-02 13:45:58","2024-07-02 13:45:58","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:45:39","2024-07-02 13:46:13","00:00:34","-19","15","","","",""
"","1","2024-07-02 13:45:39","2024-07-02 13:46:13","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:46:28","2024-07-02 13:46:28","00:00:00","15","15","","","",""
"","1","2024-07-02 13:46:28","2024-07-02 13:46:28","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:46:20","2024-07-02 13:46:47","00:00:27","-8","19","","","",""
"","1","2024-07-02 13:46:20","2024-07-02 13:46:47","27"
"ECH3ESN00003 T&B B A1-LCR","5","2024-07-02 13:46:50","2024-07-02 13:48:24","00:01:34","3","3","24","24","45","45"
"","1","2024-07-02 13:46:50","2024-07-02 13:46:50","0"
"","2","2024-07-02 13:47:11","2024-07-02 13:47:11","0"
"","3","2024-07-02 13:47:32","2024-07-02 13:47:32","0"
"","4","2024-07-02 13:47:54","2024-07-02 13:47:54","0"
"","5","2024-07-02 13:48:24","2024-07-02 13:48:24","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:48:11","2024-07-02 13:48:39","00:00:28","-13","15","","","",""
"","1","2024-07-02 13:48:11","2024-07-02 13:48:39","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:49:09","2024-07-02 13:49:09","00:00:00","30","30","","","",""
"","1","2024-07-02 13:49:09","2024-07-02 13:49:09","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:48:56","2024-07-02 13:49:24","00:00:28","-13","15","","","",""
"","1","2024-07-02 13:48:56","2024-07-02 13:49:24","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:49:44","2024-07-02 13:49:44","00:00:00","20","20","","","",""
"","1","2024-07-02 13:49:44","2024-07-02 13:49:44","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:49:31","2024-07-02 13:49:58","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:49:31","2024-07-02 13:49:58","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:50:23","2024-07-02 13:50:23","00:00:00","25","25","","","",""
"","1","2024-07-02 13:50:23","2024-07-02 13:50:23","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:50:09","2024-07-02 13:50:36","00:00:27","-14","13","","","",""
"","1","2024-07-02 13:50:09","2024-07-02 13:50:36","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:51:01","2024-07-02 13:51:01","00:00:00","25","25","","","",""
"","1","2024-07-02 13:51:01","2024-07-02 13:51:01","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:50:48","2024-07-02 13:51:21","00:00:33","-13","20","","","",""
"","1","2024-07-02 13:50:48","2024-07-02 13:51:21","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:51:41","2024-07-02 13:51:41","00:00:00","20","20","","","",""
"","1","2024-07-02 13:51:41","2024-07-02 13:51:41","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:51:28","2024-07-02 13:51:53","00:00:25","-13","12","","","",""
"","1","2024-07-02 13:51:28","2024-07-02 13:51:53","25"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:52:21","2024-07-02 13:52:21","00:00:00","28","28","","","",""
"","1","2024-07-02 13:52:21","2024-07-02 13:52:21","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:52:08","2024-07-02 13:52:35","00:00:27","-13","14","","","",""
"","1","2024-07-02 13:52:08","2024-07-02 13:52:35","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:52:59","2024-07-02 13:52:59","00:00:00","24","24","","","",""
"","1","2024-07-02 13:52:59","2024-07-02 13:52:59","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:52:46","2024-07-02 13:53:14","00:00:28","-13","15","","","",""
"","1","2024-07-02 13:52:46","2024-07-02 13:53:14","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:53:38","2024-07-02 13:53:38","00:00:00","24","24","","","",""
"","1","2024-07-02 13:53:38","2024-07-02 13:53:38","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 13:53:33","2024-07-02 13:54:00","00:00:27","-5","22","","","",""
"","1","2024-07-02 13:53:33","2024-07-02 13:54:00","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 13:54:17","2024-07-02 13:54:17","00:00:00","17","17","","","",""
"","1","2024-07-02 13:54:17","2024-07-02 13:54:17","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 13:54:07","2024-07-02 13:55:09","00:01:02","-10","17","26","52","",""
"","1","2024-07-02 13:54:07","2024-07-02 13:54:34","27"
"","2","2024-07-02 13:54:43","2024-07-02 13:55:09","26"
